V1,V2,n
age,plaque volume,1
age,postpci thrombolysis in mitimiflow,1
age,previous pcicabg,1
age,prior coronary artery bypass,3
age,prior event,1
age,pro btype natriuretic peptide quartiles,1
age,proteinuria,6
age,psychiatric medications,1
age,pulse pressure,3
age,race/ethnicity,26
age,ratio between total,1
age,referring physician,1
age,renal function,1
age,renal impairment,1
age,renal insufficiency,1
age,renin-angiotensin system inhibitors,3
age,retinopathy,15
age,rosiglitazone during followup,1
age,secretagogues,1
age,sensory neuropathy,1
age,sensory neuropathy presentabsent,1
age,significant proximal lad disease,1
age,skinfold thickness,1
age,sleep duration,1
age,smoking,181
age,sociodemographics,14
age,socioeconomic variables,11
age,sodium concentration,1
age,statins,35
age,stent,1
age,stroke,13
age,study treatment,1
age,sulfonylurea,4
age,syntax score,1
age,systolic blood pressure,119
age,the presence of total occlusion,1
age,the ukpds risk score,1
age,the use of drugs yesno,1
age,therapy for hypercoagulation,1
age,thiazolidinediones,1
age,tnfalpha,1
age,"to tal",1
age,top three multidimensional scaling axes,1
age,tot chol,1
age,total energy kcalday,1
age,treatment,1
age,triacylglycerol,4
age,triglycerides,68
age,troponin,3
age,tryglycerides,1
age,type of treatment,1
age,ultrafiltration volume,2
age,uoer,2
age,uric acid,5
age,urinary acr,5
age,urinary albumin excretion rate,10
age,urinary protein log,1
age,use of blockers,1
age,use of sulfonamides,1
age,vitamin b12,1
age,waist measurements,17
age,wasting,1
age,weight,1
age,white blood cell count,4
age,year of followup start,1
age,years of enrolment,1
albumin,Lp(a),1
albumin,RCT,1
albumin,age,2
albumin,apo(a) phenotypes,1
albumin,arteriovenous fistula,1
albumin,aspirin therapy,1
albumin,autonomic dysfunction,1
albumin,blood pressure,1
albumin,bmi,1
albumin,bnp,2
albumin,c-reactive protein,3
albumin,cardiovascular disease,2
albumin,carotid intima media thickness,1
albumin,cholesterol,11
albumin,chronic kidney disease,1
albumin,cimt,2
albumin,combined alox12 genotypes,1
albumin,coronary artery disease,2
albumin,creatinine,2
albumin,diabetes duration,2
albumin,diabetes treatment,3
albumin,dialysis,1
albumin,ecg abnormalities,2
albumin,egfr,2
albumin,endothelial dysfunction,1
albumin,gender,1
albumin,hba1c,7
albumin,heart failure,2
albumin,homair,1
albumin,hyperlipidemia,1
albumin,hypertension,2
albumin,insulin (measurment),1
albumin,insulin treatment,1
albumin,interleukin 6,1
albumin,ischemic heart disease,1
albumin,macrovascular complications,1
albumin,metformin,1
albumin,microvascular disease,1
albumin,multivessel coronary disease,1
albumin,myocardial infarction,4
albumin,parathyroid harmone (PTH),1
albumin,phosphate,3
albumin,race/ethnicity,1
albumin,retinopathy,1
albumin,smoking,4
albumin,sociodemographics,1
albumin,socioeconomic variables,1
albumin,stent,1
albumin,sulfonylurea,1
albumin,systolic blood pressure,2
albumin,therapy for hypercoagulation,1
albumin,tnfalpha,1
albumin,triglycerides,3
albumin,uric acid,1
albumin excretion rate,ankle-brachial index (ABI),1
albumin excretion rate,bmi,1
albumin excretion rate,bnp,1
albumin excretion rate,c-reactive protein,1
albumin excretion rate,cardiovascular disease,1
albumin excretion rate,cholesterol,2
albumin excretion rate,coronary heart disease,1
albumin excretion rate,diabetes treatment,1
albumin excretion rate,diastolic blood pressure,1
albumin excretion rate,ecg abnormalities,1
albumin excretion rate,fibrinogen,1
albumin excretion rate,glycemic control,1
albumin excretion rate,hba1c,1
albumin excretion rate,heart rate,1
albumin excretion rate,microalbuminuria,1
albumin excretion rate,nterminal probrain natriuretic peptide,1
albumin excretion rate,peripheral artery disease,1
albumin excretion rate,physical activity,1
albumin excretion rate,retinopathy,1
albumin excretion rate,sensory neuropathy presentabsent,1
albumin excretion rate,smoking,1
albumin excretion rate,stroke,1
albumin excretion rate,systolic blood pressure,1
albumin excretion rate,the use of drugs yesno,1
albumin excretion rate,white blood cell count,1
albumin to creatinine ratio,ACE inhibitors,1
albumin to creatinine ratio,acute coronary syndrome,1
albumin to creatinine ratio,albumin,1
albumin to creatinine ratio,alcohol use,2
albumin to creatinine ratio,antihypertensive use,1
albumin to creatinine ratio,average of 3 daily 2hour bg levels after meals,1
albumin to creatinine ratio,beta-blocker,1
albumin to creatinine ratio,blood glucose,1
albumin to creatinine ratio,blood pressure,1
albumin to creatinine ratio,bmi,3
albumin to creatinine ratio,c-reactive protein,1
albumin to creatinine ratio,cardiovascular disease,1
albumin to creatinine ratio,cholesterol,7
albumin to creatinine ratio,chronic kidney disease,2
albumin to creatinine ratio,coronary artery disease,1
albumin to creatinine ratio,creatinine,1
albumin to creatinine ratio,diabetes duration,2
albumin to creatinine ratio,diabetes treatment,4
albumin to creatinine ratio,diastolic blood pressure,1
albumin to creatinine ratio,diuretic therapy,1
albumin to creatinine ratio,egfr,1
albumin to creatinine ratio,glycemic control,3
albumin to creatinine ratio,hba1c,5
albumin to creatinine ratio,heart failure,1
albumin to creatinine ratio,heart rate,1
albumin to creatinine ratio,high density lipoprotein level,1
albumin to creatinine ratio,hypertension,2
albumin to creatinine ratio,insulin (measurment),1
albumin to creatinine ratio,lipidlowering therapy,1
albumin to creatinine ratio,macrovascular complications,1
albumin to creatinine ratio,marital status,1
albumin to creatinine ratio,metformin,1
albumin to creatinine ratio,microalbuminuria,1
albumin to creatinine ratio,microvascular disease,1
albumin to creatinine ratio,myocardial infarction,2
albumin to creatinine ratio,nterminal probrain natriuretic peptide,1
albumin to creatinine ratio,peripheral arterial occlusive disease,1
albumin to creatinine ratio,pioglitazone treatment,1
albumin to creatinine ratio,prior coronary artery bypass,1
albumin to creatinine ratio,smoking,3
albumin to creatinine ratio,sociodemographics,1
albumin to creatinine ratio,statins,2
albumin to creatinine ratio,stroke,1
albumin to creatinine ratio,sulfonylurea,1
albumin to creatinine ratio,systolic blood pressure,3
albumin to creatinine ratio,triglycerides,2
albumin to creatinine ratio,troponin,1
albumin to creatinine ratio,waist measurements,1
alcohol use,ACEI/ARB,1
alcohol use,ApoAI,1
alcohol use,albumin,1
alcohol use,albumin to creatinine ratio,1
alcohol use,alphaglucosidase inhibitor,1
alcohol use,angina,1
alcohol use,antidiabetic medication,1
alcohol use,antihypertensive use,3
alcohol use,antiplatelet therapy,3
alcohol use,apoAI/apoB ratio,1
alcohol use,apoB,1
alcohol use,aspirin therapy,3
alcohol use,beta-blocker,1
alcohol use,blood glucose,2
alcohol use,blood pressure,2
alcohol use,bmi,8
alcohol use,c-reactive protein,2
alcohol use,calcium channel blockers,1
alcohol use,cardiovascular disease,2
alcohol use,cholesterol,19
alcohol use,chronic kidney disease,2
alcohol use,chronic obstructive pulmonary disease,1
alcohol use,clopidigrel,1
alcohol use,complete revascularization,1
alcohol use,coronary artery disease,1
alcohol use,coronary heart disease,2
alcohol use,creatinine,5
alcohol use,dcb use,1
alcohol use,diabetes duration,3
alcohol use,diabetes treatment,5
alcohol use,diastolic blood pressure,2
alcohol use,dipeptidyl peptidase 4 inhibitor at discharge,1
alcohol use,ecg abnormalities,3
alcohol use,egfr,2
alcohol use,fasting plasma glucose,1
alcohol use,fasting status yes or no,1
alcohol use,fibrinogen,2
alcohol use,glycemic control,1
alcohol use,hba1c,10
alcohol use,heart rate,3
alcohol use,homair,1
alcohol use,homocysteine,1
alcohol use,hyperlipidemia,4
alcohol use,hypertension,8
alcohol use,idf metabolic syndrome,1
alcohol use,insulin (measurment),2
alcohol use,insulin treatment,3
alcohol use,left ventricular ejection fraction,2
alcohol use,lipidlowering therapy,1
alcohol use,lm treatment,1
alcohol use,myocardial infarction,2
alcohol use,other lifestyle risk factors,1
alcohol use,percutaneous coronary intervention,2
alcohol use,peripheral artery disease,1
alcohol use,peripheral vascular disease,1
alcohol use,physical activity,9
alcohol use,psychiatric medications,1
alcohol use,retinopathy,2
alcohol use,smoking,2
alcohol use,socioeconomic variables,1
alcohol use,statins,4
alcohol use,stroke,2
alcohol use,sulfonylurea,1
alcohol use,syntax score,1
alcohol use,systolic blood pressure,2
alcohol use,total energy kcalday,1
alcohol use,triacylglycerol,1
alcohol use,triglycerides,5
alcohol use,use of blockers,1
alcohol use,waist measurements,3
alphaglucosidase inhibitor,dipeptidyl peptidase 4 inhibitor at discharge,1
alphaglucosidase inhibitor,insulin (measurment),1
alphaglucosidase inhibitor,sulfonylurea,1
alternative healthy eating index ahei diet quality score quintiles,alcohol use,1
alternative healthy eating index ahei diet quality score quintiles,bmi,1
alternative healthy eating index ahei diet quality score quintiles,cholesterol,1
alternative healthy eating index ahei diet quality score quintiles,hypertension,1
alternative healthy eating index ahei diet quality score quintiles,physical activity,1
andor nitroglycerin,acute coronary syndrome,1
andor nitroglycerin,bnp,1
andor nitroglycerin,diuretic therapy,1
andor nitroglycerin,insulin treatment,1
andor nitroglycerin,monocyte chemoattractant protin1 m,1
angina,ACEI/ARB,1
angina,antidiabetic medication,1
angina,atrial fibrillation,1
angina,beta-blocker,1
angina,cerebrovascular disease,1
angina,cholesterol,2
angina,clopidigrel,1
angina,creatinine,1
angina,dipyridamole stress test,1
angina,ecg abnormalities,2
angina,insulin treatment,1
angina,ischemia,1
angina,left ventricular ejection fraction,2
angina,myocardial infarction,2
angina,pacemaker implantation,1
angina,peripheral artery disease,1
angina,statins,1
ankle-brachial index (ABI),age,1
ankle-brachial index (ABI),bmi,1
ankle-brachial index (ABI),cholesterol,2
ankle-brachial index (ABI),coronary artery disease,1
ankle-brachial index (ABI),diabetes duration,1
ankle-brachial index (ABI),diastolic blood pressure,1
ankle-brachial index (ABI),ecg abnormalities,6
ankle-brachial index (ABI),egfr,1
ankle-brachial index (ABI),fasting plasma glucose,1
ankle-brachial index (ABI),hba1c,2
ankle-brachial index (ABI),heart rate,1
ankle-brachial index (ABI),significant proximal lad disease,1
ankle-brachial index (ABI),statins,1
ankle-brachial index (ABI),systolic blood pressure,1
ankle-brachial index (ABI),the presence of total occlusion,1
antialdosterone,acute coronary syndrome,1
antialdosterone,andor nitroglycerin,1
antialdosterone,blockers,1
antialdosterone,bnp,1
antialdosterone,diuretic therapy,1
antialdosterone,insulin treatment,1
antialdosterone,monocyte chemoattractant protin1 m,1
antialdosterone,nitrates,1
anticoagulants,ACE inhibitors,1
anticoagulants,ARBs,1
anticoagulants,acute coronary syndrome,1
anticoagulants,andor nitroglycerin,1
anticoagulants,antialdosterone,1
anticoagulants,blockers,1
anticoagulants,bnp,1
anticoagulants,diuretic therapy,1
anticoagulants,insulin treatment,1
anticoagulants,monocyte chemoattractant protin1 m,1
anticoagulants,nitrates,1
anticoagulants,statins,1
antidiabetic medication,antihypertensive use,2
antidiabetic medication,antiplatelet therapy,1
antidiabetic medication,insulin treatment,1
antidiabetic medication,statins,1
antihyperlipidemic drugs,cholesterol,3
antihyperlipidemic drugs,egfr,1
antihyperlipidemic drugs,triglycerides,1
antihyperlipidemic drugs,waist measurements,1
antihypertensive use,ACE inhibitors,1
antihypertensive use,ApoAI,1
antihypertensive use,RCT,1
antihypertensive use,age,1
antihypertensive use,albumin,1
antihypertensive use,alcohol use,2
antihypertensive use,antidepressants,1
antihypertensive use,antihyperlipidemic drugs,1
antihypertensive use,antiplatelet therapy,2
antihypertensive use,apoAI/apoB ratio,1
antihypertensive use,apoB,1
antihypertensive use,aspirin therapy,2
antihypertensive use,atrial fibrillation,1
antihypertensive use,blood glucose,3
antihypertensive use,bmi,2
antihypertensive use,c-reactive protein,1
antihypertensive use,calcium channel blockers,1
antihypertensive use,cardiovascular disease,2
antihypertensive use,cholesterol,8
antihypertensive use,coronary heart disease,1
antihypertensive use,creatinine,2
antihypertensive use,diabetes duration,1
antihypertensive use,diabetes treatment,1
antihypertensive use,egfr,2
antihypertensive use,fibrates,1
antihypertensive use,fibrinogen,1
antihypertensive use,hba1c,2
antihypertensive use,heart failure,2
antihypertensive use,heart rate,2
antihypertensive use,homair,1
antihypertensive use,homocysteine,1
antihypertensive use,idf metabolic syndrome,1
antihypertensive use,insulin (measurment),2
antihypertensive use,lipidlowering therapy,9
antihypertensive use,microalbuminuria,1
antihypertensive use,peripheral artery disease,1
antihypertensive use,physical activity,1
antihypertensive use,psychiatric medications,1
antihypertensive use,race/ethnicity,1
antihypertensive use,renal impairment,1
antihypertensive use,retinopathy,1
antihypertensive use,sleep duration,1
antihypertensive use,smoking,3
antihypertensive use,sociodemographics,1
antihypertensive use,socioeconomic variables,1
antihypertensive use,statins,2
antihypertensive use,systolic blood pressure,2
antihypertensive use,triglycerides,4
antihypertensive use,use of blockers,1
antihypertensive use,waist measurements,3
antiplatelet therapy,ACE inhibitors,1
antiplatelet therapy,ARBs,3
antiplatelet therapy,RCT,1
antiplatelet therapy,acute coronary syndrome,1
antiplatelet therapy,age,1
antiplatelet therapy,alphaglucosidase inhibitor,2
antiplatelet therapy,andor nitroglycerin,1
antiplatelet therapy,antialdosterone,1
antiplatelet therapy,anticoagulants,1
antiplatelet therapy,antihypertensive use,3
antiplatelet therapy,beta-blocker,2
antiplatelet therapy,blockers,1
antiplatelet therapy,blood glucose,1
antiplatelet therapy,bmi,2
antiplatelet therapy,bnp,1
antiplatelet therapy,calcium channel blockers,2
antiplatelet therapy,cholesterol,3
antiplatelet therapy,diastolic blood pressure,1
antiplatelet therapy,dipeptidyl peptidase 4 inhibitor at discharge,2
antiplatelet therapy,diuretic therapy,1
antiplatelet therapy,egfr,1
antiplatelet therapy,glycemic control,2
antiplatelet therapy,hba1c,3
antiplatelet therapy,heart failure,1
antiplatelet therapy,hyperlipidemia,1
antiplatelet therapy,hypertension,1
antiplatelet therapy,insulin (measurment),2
antiplatelet therapy,insulin treatment,1
antiplatelet therapy,lipidlowering therapy,1
antiplatelet therapy,monocyte chemoattractant protin1 m,1
antiplatelet therapy,neuropathy,1
antiplatelet therapy,nitrates,1
antiplatelet therapy,peripheral artery disease,1
antiplatelet therapy,psychiatric medications,1
antiplatelet therapy,race/ethnicity,1
antiplatelet therapy,secretagogues,1
antiplatelet therapy,smoking,1
antiplatelet therapy,socioeconomic variables,1
antiplatelet therapy,statins,7
antiplatelet therapy,study treatment,1
antiplatelet therapy,sulfonylurea,2
antiplatelet therapy,systolic blood pressure,1
antiplatelet therapy,triglycerides,1
antiplatelet therapy,uric acid,1
antiplatelet therapy,urinary acr,1
apelin36 levels,adiponectin,1
apelin36 levels,cholesterol,1
apelin36 levels,creatinine,1
apelin36 levels,egfr,1
apelin36 levels,hemoglobin,1
apelin36 levels,homair,1
apelin36 levels,interleukin 6,1
apelin36 levels,parathyroid harmone (PTH),1
apelin36 levels,phosphate,1
apoAI/apoB ratio,albumin excretion rate,1
apoAI/apoB ratio,c-reactive protein,2
apoAI/apoB ratio,cardiovascular disease,1
apoAI/apoB ratio,diabetes treatment,1
apoAI/apoB ratio,egfr,1
apoAI/apoB ratio,fibrinogen,1
apoAI/apoB ratio,homair,1
apoAI/apoB ratio,homocysteine,1
apoAI/apoB ratio,idf metabolic syndrome,1
apoAI/apoB ratio,insulin (measurment),1
apoB,apoAI/apoB ratio,1
apoB,c-reactive protein,1
apoB,fibrinogen,1
apoB,homair,1
apoB,homocysteine,1
apoB,idf metabolic syndrome,1
apoB,insulin (measurment),1
apoB,microalbuminuria,1
aspirin therapy,ACE inhibitors,1
aspirin therapy,ARBs,1
aspirin therapy,RCT,1
aspirin therapy,acute coronary syndrome,1
aspirin therapy,age,1
aspirin therapy,andor nitroglycerin,1
aspirin therapy,antialdosterone,1
aspirin therapy,anticoagulants,1
aspirin therapy,antiplatelet therapy,1
aspirin therapy,blockers,1
aspirin therapy,blood glucose,1
aspirin therapy,bnp,1
aspirin therapy,cholesterol,4
aspirin therapy,clopidogrel,1
aspirin therapy,creatinine,2
aspirin therapy,diastolic blood pressure,1
aspirin therapy,diuretic therapy,1
aspirin therapy,fasting plasma glucose,1
aspirin therapy,fibrinogen,1
aspirin therapy,framingham risk score,1
aspirin therapy,gender,1
aspirin therapy,glycemic control,1
aspirin therapy,hba1c,2
aspirin therapy,hypertension,2
aspirin therapy,insulin treatment,1
aspirin therapy,monocyte chemoattractant protin1 m,1
aspirin therapy,nitrates,1
aspirin therapy,smoking,1
aspirin therapy,statins,2
aspirin therapy,systolic blood pressure,3
atrial fibrillation,ACE inhibitors,1
atrial fibrillation,ARBs,1
atrial fibrillation,RCT,1
atrial fibrillation,acute coronary syndrome,1
atrial fibrillation,age,1
atrial fibrillation,albumin,1
atrial fibrillation,andor nitroglycerin,1
atrial fibrillation,angina,1
atrial fibrillation,antialdosterone,1
atrial fibrillation,anticoagulants,1
atrial fibrillation,antiplatelet therapy,1
atrial fibrillation,aspirin therapy,2
atrial fibrillation,blockers,1
atrial fibrillation,bmi,2
atrial fibrillation,bnp,2
atrial fibrillation,c-reactive protein,1
atrial fibrillation,cerebrovascular disease,1
atrial fibrillation,cholesterol,5
atrial fibrillation,chronic kidney disease,1
atrial fibrillation,clopidogrel,1
atrial fibrillation,creatinine,3
atrial fibrillation,diuretic therapy,1
atrial fibrillation,egfr,2
atrial fibrillation,gender,1
atrial fibrillation,hba1c,2
atrial fibrillation,heart failure,2
atrial fibrillation,heart rate,1
atrial fibrillation,insulin treatment,1
atrial fibrillation,left ventricular ejection fraction,1
atrial fibrillation,macroalbuminuria,1
atrial fibrillation,mild plaque calcifi cation,1
atrial fibrillation,monocyte chemoattractant protin1 m,1
atrial fibrillation,nitrates,1
atrial fibrillation,pacemaker implantation,2
atrial fibrillation,percent low density plaque,1
atrial fibrillation,percutaneous coronary intervention,1
atrial fibrillation,peripheral artery disease,1
atrial fibrillation,plaque volume,1
atrial fibrillation,renal impairment,1
atrial fibrillation,smoking,1
atrial fibrillation,sociodemographics,1
atrial fibrillation,sodium concentration,1
atrial fibrillation,statins,1
atrial fibrillation,systolic blood pressure,2
atrial fibrillation,uric acid,1
autonomic dysfunction,ankle-brachial index (ABI),1
autonomic dysfunction,distal polyneuropathy,1
autonomic nervous function,smoking,1
